Project,SonarQube,CodeQL,SnykCode,GPT 4.1,Mistral Large,DeepSeek V3
S01,39.928s,195.102s,27.370s,12.741s,35.149s,17.835s
S02,32.984s,186.703s,20.887s,4.407s,11.178s,5.815s
S03,33.544s,188.552s,27.071s,8.140s,24.019s,11.607s
S04,35.511s,207.137s,13.921s,3.526s,10.181s,7.345s
S05,34.426s,207.640s,16.886s,6.715s,14.790s,7.472s
S06,30.202s,197.323s,18.113s,9.536s,22.919s,29.860s
S07,35.921s,199.423s,21.590s,17.802s,26.623s,13.581s
S08,32.335s,185.923s,16.547s,7.633s,15.669s,12.701s
S09,38.701s,191.757s,19.025s,8.196s,22.696s,9.931s
S10,63.905s,213.088s,29.266s,4.769s,67.273s,9.083s
